                                                             |
|-------------|-----------------------------------------------------------------------|
| طالب علم 1  | "کیا تم نے یونیورسٹی آف سندھ کے نئے پروگرامز کے بارے میں سنا ہے؟"     |
| طالب علم 2  | "ہاں، اس سال بہت سے نئے کورسز شروع ہوئے ہیں۔ خاص طور پر آئی ٹی اور بیالوجی میں۔" |
| فیکلٹی 1    | "ہم نے حال ہی میں اپنے تحقیقاتی منصوبوں کو بین الاقوامی سطح پر پیش کیا۔" |
| طالب علم 3  | "یونیورسٹی کی نئی لائبریری کا کیا حال ہے؟"                               |
| طالب علم 4  | "بہت ہی بہترین ہے! وہاں مختلف تحقیقاتی مواد اور آن لائن جریدے دستیاب ہیں۔" |
| طالب علم 2  | "اب یونیورسٹی میں نیا کمپیوٹر لیب بھی بنا ہے، جس کا بہت فائدہ ہو رہا ہے۔" |
| طالب علم 1  | "ویسے، یونیورسٹی کے کیمپس میں سب سے زیادہ پسندیدہ جگہ کون سی ہے؟"        |
| طالب علم 4  | "میرے خیال میں کیمپس کے بیچ میں جو سبزہ زار ہے، وہ سب سے خوبصورت ہے۔"   |
| فیکلٹی 1    | "یونیورسٹی میں ہر سال نئے تعلیمی پروگرامز اور ورکشاپس کا انعقاد کیا جاتا ہے۔" |
| طالب علم 3  | "کیا آپ نے یونیورسٹی کی نئی تحقیقاتی پالیسی کے بارے میں سنا؟"          |
| طالب علم 2  | "جی ہاں، انہوں نے مزید تحقیقی فنڈز فراہم کیے ہیں تاکہ ہم عالمی سطح پر تحقیق کر سکیں۔" |
| فیکلٹی 2    | "ہم نے نئے تعلیمی سیمینارز اور کانفرنسز کی بھی منصوبہ بندی کی ہے۔"     |
| طالب علم 1  | "یونیورسٹی کے نئے ہاسٹل کی حالت کیسی ہے؟"                              |
| طالب علم 4  | "نیا ہاسٹل بہت آرام دہ اور جدید سہولتوں سے آراستہ ہے۔"                   |
| طالب علم 3  | "کیا یونیورسٹی میں کچھ نئے کلچر پروگرامز بھی شروع ہوئے ہیں؟"            |
| فیکلٹی 1    | "جی ہاں، یونیورسٹی میں مختلف ثقافتی تقریبات اور فیسٹیولز کا اہتمام کیا جاتا ہے۔" |
| طالب علم 2  | "یونیورسٹی میں ہونے والی کھیلوں کی سرگرمیاں کب شروع ہوں گی؟"            |
| طالب علم 1  | "کھیلوں کے لیے نئی اسٹیڈیم بن رہی ہے، جس کی تیاری تقریباً مکمل ہو چکی ہے۔" |
| فیکلٹی 2    | "ہمیں فخر ہے کہ یونیورسٹی نے اپنی تحقیق اور تعلیم میں عالمی معیار قائم کیا ہے۔" |
| طالب علم 4  | "اب یونیورسٹی میں خواتین کے لیے زیادہ مواقع فراہم کیے جا رہے ہیں۔"      |
| طالب علم 3  | "یہ اچھا ہے! ہمارے لیے فیلڈز میں بڑھتی ہوئی مواقع ضروری ہیں۔"          |
| طالب علم 1  | "کیا آپ نے یونیورسٹی کی سپورٹس ٹیم کے بارے میں کچھ سنا؟"                |
| فیکلٹی 1    | "یونیورسٹی نے مختلف کھیلوں میں اپنی ٹیموں کو عالمی سطح پر متعارف کرایا ہے۔" |
| طالب علم 4  | "یونیورسٹی میں ہونے والے ایونٹس کی لائیو اسٹریمنگ کی سہولت بھی فراہم کی جا رہی ہے۔" |
| طالب علم 2  | "یونیورسٹی میں نئے آئی ٹی کورسز شروع کرنے سے ہمارے کیریئر کے مواقع بہتر ہوں گے۔" |
| طالب علم 3  | "مجھے یقین ہے کہ یونیورسٹی کے نئے تعلیمی پروگرامز سے طالب علموں کی ترقی میں اضافہ ہوگا۔" |
| فیکلٹی 2    | "ہم ہمیشہ نئے مواقع اور ٹیکنالوجیز کا استعمال کرتے ہیں تاکہ تعلیم کا معیار بہتر ہو۔" |
| طالب علم 1  | "یونیورسٹی میں فیکلٹی کی تعداد اور معیار دونوں بہتر ہوئے ہیں، آپ کیا کہتے ہیں؟" |
| طالب علم 2  | "ہاں، اور اس میں ہمیشہ عالمی معیار کے پروفیسرز کا انتخاب کیا جاتا ہے۔" |
| فیکلٹی 1    | "ہم نے تحقیق کے نئے شعبوں میں کام کرنے کے لیے اپنے طلبہ کو ترغیب دی ہے۔" |
| طالب علم 4  | "کیا یونیورسٹی میں کوئی خاص ایڈوکیشنل ٹورز کا اہتمام کیا جا رہا ہے؟"   |
| طالب علم 3  | "جی ہاں، مختلف یونیورسٹیز کے تعلیمی دورے بھی باقاعدہ طور پر ہو رہے ہیں۔" |
| طالب علم 1  | "یونیورسٹی کے پرانے طلبہ کا کیا حال ہے؟"                                |
| فیکلٹی 2    | "یونیورسٹی کے پرانے طلبہ ہمارے لیے ایک قیمتی اثاثہ ہیں اور ہمیں ان کی رہنمائی کی ضرورت ہوتی ہے۔" |
